feature_id,frequency,observations,first_valid_date,last_valid_date,missing_pct
btc_close,daily,2293,2020-01-01,2026-04-11,0.0
eth_close,daily,2293,2020-01-01,2026-04-11,0.0
btc_ret,daily,2292,2020-01-02,2026-04-11,0.0004
eth_ret,daily,2292,2020-01-02,2026-04-11,0.0004
spy_ret,daily,2291,2020-01-03,2026-04-11,0.0009
qqq_ret,daily,2291,2020-01-03,2026-04-11,0.0009
iwm_ret,daily,1233,2020-01-03,2026-04-10,0.4623
gold_ret,daily,2291,2020-01-03,2026-04-11,0.0009
dxy_ret,daily,2291,2020-01-03,2026-04-11,0.0009
total3_ret,daily,2292,2020-01-02,2026-04-11,0.0004
vix_d1,daily,2291,2020-01-03,2026-04-11,0.0009
real_yield_d1,daily,2291,2020-01-03,2026-04-11,0.0009
nominal_10y_d1,daily,2291,2020-01-03,2026-04-11,0.0009
term_spread_d1,daily,2291,2020-01-03,2026-04-11,0.0009
hy_oas_d1,daily,1089,2023-04-19,2026-04-11,0.5251
oil_ret,daily,2285,2020-01-03,2026-04-11,0.0035
policy_uncertainty_d1,daily,2292,2020-01-02,2026-04-11,0.0004
btc_realized_vol_30d,daily,2273,2020-01-21,2026-04-11,0.0087
eth_realized_vol_30d,daily,2273,2020-01-21,2026-04-11,0.0087
btc_drawdown,daily,2293,2020-01-01,2026-04-11,0.0
eth_drawdown,daily,2293,2020-01-01,2026-04-11,0.0
btc_bottom5,daily,2293,2020-01-01,2026-04-11,0.0
eth_bottom5,daily,2293,2020-01-01,2026-04-11,0.0
btc_vol_spike,daily,2293,2020-01-01,2026-04-11,0.0
btc_market_cap_usd,daily,2293,2020-01-01,2026-04-11,0.0
eth_market_cap_usd,daily,2293,2020-01-01,2026-04-11,0.0
btc_mcap_lag1,daily,2292,2020-01-02,2026-04-11,0.0004
eth_mcap_lag1,daily,2292,2020-01-02,2026-04-11,0.0004
btc_etf_net_flow_usd,daily,821,2024-01-11,2026-04-10,0.642
eth_etf_net_flow_usd,daily,627,2024-07-23,2026-04-10,0.7266
btc_etf_flow_intensity_lag0,daily,821,2024-01-11,2026-04-10,0.642
eth_etf_flow_intensity_lag0,daily,627,2024-07-23,2026-04-10,0.7266
btc_etf_flow_intensity_lag1,daily,821,2024-01-12,2026-04-11,0.642
eth_etf_flow_intensity_lag1,daily,627,2024-07-24,2026-04-11,0.7266
btc_etf_flow_intensity,daily,821,2024-01-11,2026-04-10,0.642
eth_etf_flow_intensity,daily,627,2024-07-23,2026-04-10,0.7266
btc_etf_cumulative_flow_usd,daily,2293,2020-01-01,2026-04-11,0.0
eth_etf_cumulative_flow_usd,daily,2293,2020-01-01,2026-04-11,0.0
btc_mvrv,daily,2293,2020-01-01,2026-04-11,0.0
btc_mvrv_lag1,daily,2292,2020-01-02,2026-04-11,0.0004
btc_mvrv_log,daily,2293,2020-01-01,2026-04-11,0.0
d_log_mvrv,daily,2292,2020-01-02,2026-04-11,0.0004
btc_mvrv_d1,daily,2292,2020-01-02,2026-04-11,0.0004
btc_mvrv_percentile_lagged,daily,2263,2020-01-31,2026-04-11,0.0131
btc_mvrv_z_365_lagged,daily,2172,2020-05-01,2026-04-11,0.0528
btc_realized_cap,daily,2292,2020-01-01,2026-04-10,0.0004
btc_realized_cap_usd,daily,2292,2020-01-01,2026-04-10,0.0004
d_log_market_cap,daily,2292,2020-01-02,2026-04-11,0.0004
d_log_realized_cap,daily,2291,2020-01-02,2026-04-10,0.0009
identity_residual,daily,2291,2020-01-02,2026-04-10,0.0009
btc_realized_price,daily,1927,2020-12-31,2026-04-10,0.1596
btc_realized_price_gap_lag1,daily,1927,2021-01-01,2026-04-11,0.1596
btc_nupl_lag1,daily,1927,2021-01-01,2026-04-11,0.1596
btc_sopr_lag1,daily,2292,2020-01-02,2026-04-11,0.0004
btc_supply_profit_pct_lag1,daily,1927,2021-01-01,2026-04-11,0.1596
stablecoin_supply_usd,daily,2293,2020-01-01,2026-04-11,0.0
defi_tvl_usd,daily,2293,2020-01-01,2026-04-11,0.0
stablecoin_supply_growth,daily,2292,2020-01-02,2026-04-11,0.0004
defi_tvl_growth,daily,2292,2020-01-02,2026-04-11,0.0004
stablecoin_supply_growth_lag1,daily,2291,2020-01-03,2026-04-11,0.0009
defi_tvl_growth_lag1,daily,2291,2020-01-03,2026-04-11,0.0009
stablecoin_to_tvl,daily,2293,2020-01-01,2026-04-11,0.0
stablecoin_share_crypto_proxy,daily,2293,2020-01-01,2026-04-11,0.0
btc_oi,daily,2293,2020-01-01,2026-04-11,0.0
btc_oi_growth,daily,2292,2020-01-02,2026-04-11,0.0004
btc_oi_growth_lag1,daily,2291,2020-01-03,2026-04-11,0.0009
btc_oi_to_mcap,daily,2292,2020-01-02,2026-04-11,0.0004
btc_funding,daily,2293,2020-01-01,2026-04-11,0.0
btc_abs_funding,daily,2293,2020-01-01,2026-04-11,0.0
btc_funding_z,daily,2264,2020-01-30,2026-04-11,0.0126
btc_funding_z_lag1,daily,2263,2020-01-31,2026-04-11,0.0131
btc_leverage_ratio_percentile,daily,2263,2020-01-31,2026-04-11,0.0131
btc_leverage_ratio_percentile_lag1,daily,2262,2020-02-01,2026-04-11,0.0135
btc_total_liq_usd,daily,2293,2020-01-01,2026-04-11,0.0
btc_long_liq_to_lag_mcap_bps,daily,2292,2020-01-02,2026-04-11,0.0004
btc_short_liq_to_lag_mcap_bps,daily,2292,2020-01-02,2026-04-11,0.0004
btc_total_liq_to_lag_oi_pct,daily,2292,2020-01-02,2026-04-11,0.0004
btc_total_liq_to_lag_mcap_bps,daily,2292,2020-01-02,2026-04-11,0.0004
btc_total_liq_to_lag_oi_log1p,daily,2292,2020-01-02,2026-04-11,0.0004
btc_total_liq_intensity,daily,2292,2020-01-02,2026-04-11,0.0004
btc_basis_z,daily,2021,2020-01-31,2026-04-11,0.1186
btc_taker_buy_ratio,daily,2293,2020-01-01,2026-04-11,0.0
btc_exchange_netflow_scaled,daily,2292,2020-01-02,2026-04-11,0.0004
btc_exchange_netflow_scaled_lag1,daily,2291,2020-01-03,2026-04-11,0.0009
eth_oi,daily,2293,2020-01-01,2026-04-11,0.0
eth_oi_growth,daily,2292,2020-01-02,2026-04-11,0.0004
eth_oi_growth_lag1,daily,2291,2020-01-03,2026-04-11,0.0009
eth_funding_z,daily,2264,2020-01-30,2026-04-11,0.0126
eth_funding_z_lag1,daily,2263,2020-01-31,2026-04-11,0.0131
eth_total_liq_usd,daily,2293,2020-01-01,2026-04-11,0.0
eth_total_liq_to_lag_oi_pct,daily,2292,2020-01-02,2026-04-11,0.0004
eth_total_liq_to_lag_mcap_bps,daily,2292,2020-01-02,2026-04-11,0.0004
eth_total_liq_to_lag_oi_log1p,daily,2292,2020-01-02,2026-04-11,0.0004
eth_total_liq_intensity,daily,2292,2020-01-02,2026-04-11,0.0004
btc_dominance,daily,2293,2020-01-01,2026-04-11,0.0
eth_dominance,daily,2293,2020-01-01,2026-04-11,0.0
fear_greed_altme,daily,2293,2020-01-01,2026-04-11,0.0
fear_greed_change,daily,2292,2020-01-02,2026-04-11,0.0004
fear_greed_altme_lag1,daily,2292,2020-01-02,2026-04-11,0.0004
fear_greed_change_lag1,daily,2291,2020-01-03,2026-04-11,0.0009
btc_mvrv_quintile_lagged,daily,2263,2020-01-31,2026-04-11,0.0131
btc_ret_fwd_1d,daily,2292,2020-01-01,2026-04-10,0.0004
btc_ret_fwd_7d,daily,2286,2020-01-01,2026-04-04,0.0031
btc_future_30d_min_drawdown,daily,2234,2020-01-30,2026-03-12,0.0257
btc_ret,weekly,328,2020-01-05,2026-04-12,0.0
eth_ret,weekly,328,2020-01-05,2026-04-12,0.0
spy_ret,weekly,328,2020-01-05,2026-04-12,0.0
qqq_ret,weekly,328,2020-01-05,2026-04-12,0.0
iwm_ret,weekly,328,2020-01-05,2026-04-12,0.0
gold_ret,weekly,328,2020-01-05,2026-04-12,0.0
dxy_ret,weekly,328,2020-01-05,2026-04-12,0.0
total3_ret,weekly,328,2020-01-05,2026-04-12,0.0
oil_ret,weekly,328,2020-01-05,2026-04-12,0.0
vix_d1,weekly,328,2020-01-05,2026-04-12,0.0
real_yield_d1,weekly,328,2020-01-05,2026-04-12,0.0
nominal_10y_d1,weekly,328,2020-01-05,2026-04-12,0.0
term_spread_d1,weekly,328,2020-01-05,2026-04-12,0.0
hy_oas_d1,weekly,156,2023-04-23,2026-04-12,0.5244
policy_uncertainty_d1,weekly,328,2020-01-05,2026-04-12,0.0
d_log_mvrv,weekly,328,2020-01-05,2026-04-12,0.0
btc_mvrv_d1,weekly,328,2020-01-05,2026-04-12,0.0
d_log_market_cap,weekly,328,2020-01-05,2026-04-12,0.0
d_log_realized_cap,weekly,328,2020-01-05,2026-04-12,0.0
btc_close,weekly,328,2020-01-05,2026-04-12,0.0
eth_close,weekly,328,2020-01-05,2026-04-12,0.0
btc_market_cap_usd,weekly,328,2020-01-05,2026-04-12,0.0
eth_market_cap_usd,weekly,328,2020-01-05,2026-04-12,0.0
stablecoin_supply_usd,weekly,328,2020-01-05,2026-04-12,0.0
defi_tvl_usd,weekly,328,2020-01-05,2026-04-12,0.0
btc_oi,weekly,328,2020-01-05,2026-04-12,0.0
btc_funding,weekly,328,2020-01-05,2026-04-12,0.0
btc_funding_z,weekly,324,2020-02-02,2026-04-12,0.0122
eth_oi,weekly,328,2020-01-05,2026-04-12,0.0
eth_funding_z,weekly,324,2020-02-02,2026-04-12,0.0122
btc_leverage_ratio_percentile,weekly,324,2020-02-02,2026-04-12,0.0122
btc_exchange_netflow_scaled,weekly,328,2020-01-05,2026-04-12,0.0
btc_mvrv,weekly,328,2020-01-05,2026-04-12,0.0
btc_mvrv_percentile_lagged,weekly,324,2020-02-02,2026-04-12,0.0122
btc_mvrv_z_365_lagged,weekly,311,2020-05-03,2026-04-12,0.0518
btc_realized_cap_usd,weekly,328,2020-01-05,2026-04-12,0.0
btc_realized_price_gap_lag1,weekly,276,2021-01-03,2026-04-12,0.1585
btc_dominance,weekly,328,2020-01-05,2026-04-12,0.0
eth_dominance,weekly,328,2020-01-05,2026-04-12,0.0
fear_greed_altme,weekly,328,2020-01-05,2026-04-12,0.0
stablecoin_to_tvl,weekly,328,2020-01-05,2026-04-12,0.0
stablecoin_share_crypto_proxy,weekly,328,2020-01-05,2026-04-12,0.0
btc_etf_net_flow_usd,weekly,118,2024-01-14,2026-04-12,0.6402
eth_etf_net_flow_usd,weekly,90,2024-07-28,2026-04-12,0.7256
btc_total_liq_usd,weekly,328,2020-01-05,2026-04-12,0.0
eth_total_liq_usd,weekly,328,2020-01-05,2026-04-12,0.0
btc_mcap_lag1,weekly,327,2020-01-12,2026-04-12,0.003
eth_mcap_lag1,weekly,327,2020-01-12,2026-04-12,0.003
stablecoin_supply_growth,weekly,327,2020-01-12,2026-04-12,0.003
defi_tvl_growth,weekly,327,2020-01-12,2026-04-12,0.003
stablecoin_supply_growth_lag1,weekly,326,2020-01-19,2026-04-12,0.0061
defi_tvl_growth_lag1,weekly,326,2020-01-19,2026-04-12,0.0061
btc_oi_growth,weekly,327,2020-01-12,2026-04-12,0.003
btc_oi_growth_lag1,weekly,326,2020-01-19,2026-04-12,0.0061
btc_funding_z_lag1,weekly,323,2020-02-09,2026-04-12,0.0152
eth_oi_growth,weekly,327,2020-01-12,2026-04-12,0.003
eth_oi_growth_lag1,weekly,326,2020-01-19,2026-04-12,0.0061
eth_funding_z_lag1,weekly,323,2020-02-09,2026-04-12,0.0152
btc_exchange_netflow_scaled_lag1,weekly,327,2020-01-12,2026-04-12,0.003
fear_greed_change,weekly,327,2020-01-12,2026-04-12,0.003
fear_greed_altme_lag1,weekly,327,2020-01-12,2026-04-12,0.003
fear_greed_change_lag1,weekly,326,2020-01-19,2026-04-12,0.0061
btc_etf_flow_intensity_lag0,weekly,118,2024-01-14,2026-04-12,0.6402
eth_etf_flow_intensity_lag0,weekly,90,2024-07-28,2026-04-12,0.7256
btc_etf_flow_intensity_lag1,weekly,117,2024-01-21,2026-04-12,0.6433
eth_etf_flow_intensity_lag1,weekly,89,2024-08-04,2026-04-12,0.7287
btc_etf_flow_intensity,weekly,118,2024-01-14,2026-04-12,0.6402
eth_etf_flow_intensity,weekly,90,2024-07-28,2026-04-12,0.7256
btc_total_liq_to_lag_oi_pct,weekly,327,2020-01-12,2026-04-12,0.003
btc_total_liq_to_lag_mcap_bps,weekly,327,2020-01-12,2026-04-12,0.003
eth_total_liq_to_lag_oi_pct,weekly,327,2020-01-12,2026-04-12,0.003
eth_total_liq_to_lag_mcap_bps,weekly,327,2020-01-12,2026-04-12,0.003
btc_realized_vol_30d,weekly,328,2020-01-05,2026-04-12,0.0
eth_realized_vol_30d,weekly,328,2020-01-05,2026-04-12,0.0
btc_ret_fwd_1d,weekly,327,2020-01-05,2026-04-05,0.003
btc_ret_fwd_7d,weekly,327,2020-01-05,2026-04-05,0.003
source,monthly,15600,2020-01-01,2026-06-01,0.0
snapshot_date,monthly,15600,2020-01-01,2026-06-01,0.0
month,monthly,15600,2020-01-01,2026-06-01,0.0
asset_key,monthly,15600,2020-01-01,2026-06-01,0.0
token_id,monthly,15600,2020-01-01,2026-06-01,0.0
coingecko_id,monthly,15600,2020-01-01,2026-06-01,0.0
symbol,monthly,15600,2020-01-01,2026-06-01,0.0
asset_name,monthly,15600,2020-01-01,2026-06-01,0.0
price_usd,monthly,15600,2020-01-01,2026-06-01,0.0
market_cap_usd,monthly,15600,2020-01-01,2026-06-01,0.0
source_rank_full_market,monthly,15600,2020-01-01,2026-06-01,0.0
rank_full_market,monthly,15600,2020-01-01,2026-06-01,0.0
is_partial_month,monthly,15600,2020-01-01,2026-06-01,0.0
asset_class_final,monthly,15600,2020-01-01,2026-06-01,0.0
in_full_top100,monthly,15600,2020-01-01,2026-06-01,0.0
