window,hac_lags,winsorization,include_mvrv,calendar,n,r2,adj_r2,error
90,5,none,True,crypto7,72,0.9774906452610526,0.9719620318163988,
90,5,none,True,weekday,55,0.9794503008381569,0.9722579061315118,
90,5,none,False,crypto7,72,0.4670027448130245,0.34753784278835764,
90,5,none,False,weekday,55,0.5521727091204816,0.41017869006112206,
90,10,none,True,crypto7,72,0.9774906452610526,0.9719620318163988,
90,10,none,True,weekday,55,0.9794503008381569,0.9722579061315118,
90,10,none,False,crypto7,72,0.4670027448130245,0.34753784278835764,
90,10,none,False,weekday,55,0.5521727091204816,0.41017869006112206,
90,20,none,True,crypto7,72,0.9774906452610526,0.9719620318163988,
90,20,none,True,weekday,55,0.9794503008381569,0.9722579061315118,
90,20,none,False,crypto7,72,0.4670027448130245,0.34753784278835764,
90,20,none,False,weekday,55,0.5521727091204816,0.41017869006112206,
90,5,0.01,True,crypto7,72,0.9901392748644792,0.987717342375053,
90,5,0.01,True,weekday,55,0.9919638788460455,0.9891512364421615,
90,5,0.01,False,crypto7,72,0.4014922864767908,0.2673440058595199,
90,5,0.01,False,weekday,55,0.49164743321985493,0.3304624730212723,
90,10,0.01,True,crypto7,72,0.9901392748644792,0.987717342375053,
90,10,0.01,True,weekday,55,0.9919638788460455,0.9891512364421615,
90,10,0.01,False,crypto7,72,0.4014922864767908,0.2673440058595199,
90,10,0.01,False,weekday,55,0.49164743321985493,0.3304624730212723,
90,20,0.01,True,crypto7,72,0.9901392748644792,0.987717342375053,
90,20,0.01,True,weekday,55,0.9919638788460455,0.9891512364421615,
90,20,0.01,False,crypto7,72,0.4014922864767908,0.2673440058595199,
90,20,0.01,False,weekday,55,0.49164743321985493,0.3304624730212723,
90,5,0.05,True,crypto7,72,0.9950545668169912,0.9938398990176558,
90,5,0.05,True,weekday,55,0.9969048542759931,0.9958215532725907,
90,5,0.05,False,crypto7,72,0.3512247905165141,0.20580965735642254,
90,5,0.05,False,weekday,55,0.438170217294778,0.26002906668092707,
90,10,0.05,True,crypto7,72,0.9950545668169912,0.9938398990176558,
90,10,0.05,True,weekday,55,0.9969048542759931,0.9958215532725907,
90,10,0.05,False,crypto7,72,0.3512247905165141,0.20580965735642254,
90,10,0.05,False,weekday,55,0.438170217294778,0.26002906668092707,
90,20,0.05,True,crypto7,72,0.9950545668169912,0.9938398990176558,
90,20,0.05,True,weekday,55,0.9969048542759931,0.9958215532725907,
90,20,0.05,False,crypto7,72,0.3512247905165141,0.20580965735642254,
90,20,0.05,False,weekday,55,0.438170217294778,0.26002906668092707,
180,5,none,True,crypto7,143,0.9757541619091176,0.9728904802448402,
180,5,none,True,weekday,107,0.9776429893351645,0.9739577677970047,
180,5,none,False,crypto7,143,0.34588733368977365,0.27434376081209266,
180,5,none,False,weekday,107,0.38747951291644245,0.29426987357764023,
180,10,none,True,crypto7,143,0.9757541619091176,0.9728904802448402,
180,10,none,True,weekday,107,0.9776429893351645,0.9739577677970047,
180,10,none,False,crypto7,143,0.34588733368977365,0.27434376081209266,
180,10,none,False,weekday,107,0.38747951291644245,0.29426987357764023,
180,20,none,True,crypto7,143,0.9757541619091176,0.9728904802448402,
180,20,none,True,weekday,107,0.9776429893351645,0.9739577677970047,
180,20,none,False,crypto7,143,0.34588733368977365,0.27434376081209266,
180,20,none,False,weekday,107,0.38747951291644245,0.29426987357764023,
180,5,0.01,True,crypto7,143,0.9777972180721969,0.9751748422539525,
180,5,0.01,True,weekday,107,0.9798739991162682,0.9765565264431255,
180,5,0.01,False,crypto7,143,0.31079795095912177,0.23541647684527567,
180,5,0.01,False,weekday,107,0.35530735481810904,0.25720195229042997,
180,10,0.01,True,crypto7,143,0.9777972180721969,0.9751748422539525,
180,10,0.01,True,weekday,107,0.9798739991162682,0.9765565264431255,
180,10,0.01,False,crypto7,143,0.31079795095912177,0.23541647684527567,
180,10,0.01,False,weekday,107,0.35530735481810904,0.25720195229042997,
180,20,0.01,True,crypto7,143,0.9777972180721969,0.9751748422539525,
180,20,0.01,True,weekday,107,0.9798739991162682,0.9765565264431255,
180,20,0.01,False,crypto7,143,0.31079795095912177,0.23541647684527567,
180,20,0.01,False,weekday,107,0.35530735481810904,0.25720195229042997,
180,5,0.05,True,crypto7,143,0.9746247606632334,0.9718493438607746,
180,5,0.05,True,weekday,107,0.975967499835705,0.9723103802454861,
180,5,0.05,False,crypto7,143,0.27116489069239913,0.19771639130481145,
180,5,0.05,False,weekday,107,0.31565422714045976,0.21999299007407236,
180,10,0.05,True,crypto7,143,0.9746247606632334,0.9718493438607746,
180,10,0.05,True,weekday,107,0.975967499835705,0.9723103802454861,
180,10,0.05,False,crypto7,143,0.27116489069239913,0.19771639130481145,
180,10,0.05,False,weekday,107,0.31565422714045976,0.21999299007407236,
180,20,0.05,True,crypto7,143,0.9746247606632334,0.9718493438607746,
180,20,0.05,True,weekday,107,0.975967499835705,0.9723103802454861,
180,20,0.05,False,crypto7,143,0.27116489069239913,0.19771639130481145,
180,20,0.05,False,weekday,107,0.31565422714045976,0.21999299007407236,
365,5,none,True,crypto7,311,0.9574962883220396,0.9553350826434992,
365,5,none,True,weekday,226,0.9590782554268154,0.9561552736715879,
365,5,none,False,crypto7,311,0.26987657095927875,0.23534370607221755,
365,5,none,False,weekday,226,0.30427577201227773,0.25811397489460897,
365,10,none,True,crypto7,311,0.9574962883220396,0.9553350826434992,
365,10,none,True,weekday,226,0.9590782554268154,0.9561552736715879,
365,10,none,False,crypto7,311,0.26987657095927875,0.23534370607221755,
365,10,none,False,weekday,226,0.30427577201227773,0.25811397489460897,
365,20,none,True,crypto7,311,0.9574962883220396,0.9553350826434992,
365,20,none,True,weekday,226,0.9590782554268154,0.9561552736715879,
365,20,none,False,crypto7,311,0.26987657095927875,0.23534370607221755,
365,20,none,False,weekday,226,0.30427577201227773,0.25811397489460897,
365,5,0.01,True,crypto7,311,0.9559400377956416,0.953699700734403,
365,5,0.01,True,weekday,226,0.9571212074697848,0.9540584365747694,
365,5,0.01,False,crypto7,311,0.24401195059364023,0.2082557590676637,
365,5,0.01,False,weekday,226,0.27846825814403064,0.23059411413462982,
365,10,0.01,True,crypto7,311,0.9559400377956416,0.953699700734403,
365,10,0.01,True,weekday,226,0.9571212074697848,0.9540584365747694,
365,10,0.01,False,crypto7,311,0.24401195059364023,0.2082557590676637,
365,10,0.01,False,weekday,226,0.27846825814403064,0.23059411413462982,
365,20,0.01,True,crypto7,311,0.9559400377956416,0.953699700734403,
365,20,0.01,True,weekday,226,0.9571212074697848,0.9540584365747694,
365,20,0.01,False,crypto7,311,0.24401195059364023,0.2082557590676637,
365,20,0.01,False,weekday,226,0.27846825814403064,0.23059411413462982,
365,5,0.05,True,crypto7,311,0.9649368444761817,0.9632784519851902,
365,5,0.05,True,weekday,226,0.9671295918318007,0.964948616882252,
365,5,0.05,False,crypto7,311,0.2150455836348789,0.18068730951788714,
365,5,0.05,False,weekday,226,0.259199334078397,0.21377287814924206,
365,10,0.05,True,crypto7,311,0.9649368444761817,0.9632784519851902,
365,10,0.05,True,weekday,226,0.9671295918318007,0.964948616882252,
365,10,0.05,False,crypto7,311,0.2150455836348789,0.18068730951788714,
365,10,0.05,False,weekday,226,0.259199334078397,0.21377287814924206,
365,20,0.05,True,crypto7,311,0.9649368444761817,0.9632784519851902,
365,20,0.05,True,weekday,226,0.9671295918318007,0.964948616882252,
365,20,0.05,False,crypto7,311,0.2150455836348789,0.18068730951788714,
365,20,0.05,False,weekday,226,0.259199334078397,0.21377287814924206,
