month,snapshot_date,is_partial_month,snapshot_count,top5_share,top10_share,hhi,btc_share,eth_share,stable_like_share,productized_wrapped_share,clean_risk_count,entries,exits,rank_persistence
2020-01,2020-01-31,False,100,0.8424022057069498,0.91009867484327,0.4643932478468389,0.6738526088884413,0.0782566611338941,0.020217320684787,0.0,95,,,
2020-02,2020-02-29,False,100,0.837190636699903,0.9028710823432026,0.4378153741997241,0.650645665841663,0.1028452381504883,0.021238931297613,0.0,95,6.0,6.0,0.94
2020-03,2020-03-31,False,100,0.8435691838600774,0.904552170417952,0.4590954208399169,0.6693471000305028,0.0835037107180924,0.0311828231888088,0.0002851234273028,94,8.0,8.0,0.92
2020-04,2020-04-30,False,100,0.8443907206264811,0.903230640780138,0.4434455560693598,0.655699505015566,0.0972274572603296,0.0371935694006926,0.0003542082218006,93,9.0,9.0,0.91
2020-05,2020-05-31,False,100,0.8462969247145289,0.8997659074822483,0.4506516451142667,0.6611246624559697,0.1003430735115002,0.0391321853752067,0.0003269253426536,92,6.0,6.0,0.94
2020-06,2020-06-30,False,100,0.837120293332313,0.8867222786904442,0.4417202851148615,0.6546313231180461,0.0985396724871929,0.0436765725270734,0.0003429009483278,93,9.0,9.0,0.91
2020-07,2020-07-31,False,100,0.8287038977994345,0.8841791499121935,0.413777651953588,0.6300224242572966,0.1153318993271683,0.0392801302538621,0.000289199049016,93,10.0,10.0,0.9
2020-08,2020-08-31,False,100,0.7925934368666063,0.8510232489932877,0.3541316575363275,0.5776175282571389,0.1285010783090848,0.0430019892737391,0.0,94,16.0,16.0,0.84
2020-09,2020-09-30,False,100,0.7992097472585282,0.8538178704763145,0.3663670630962906,0.589658535135121,0.1193068316371906,0.0590461310585808,0.0029344713039668,93,10.0,10.0,0.9
2020-10,2020-10-31,False,100,0.8338778117775963,0.8822256824730361,0.4265305985475354,0.6408713454034275,0.1107303238122574,0.055554329235578,0.0042957177000801,92,11.0,11.0,0.89
2020-11,2020-11-30,False,100,0.8430792007653418,0.8893036248160222,0.4108563648150513,0.6256924211306496,0.1210890496551003,0.0456022385324793,0.0041434713169516,93,6.0,6.0,0.94
2020-12,2020-12-31,False,100,0.8745127035795699,0.9134346008490906,0.5174487400706405,0.7092338835205595,0.1135242772127034,0.036066458521174,0.0043156629090701,93,9.0,9.0,0.91
2021-01,2021-01-31,False,100,0.8498588591303305,0.8942049678328748,0.4266010059235403,0.6325992919774488,0.1564154089066881,0.0360431843725417,0.0039518437501388,93,11.0,11.0,0.89
2021-02,2021-02-28,False,100,0.8146379874657023,0.8746802724332655,0.3973193287629604,0.6163044139562341,0.1189405798171388,0.0351100757893307,0.0040255399954062,94,12.0,12.0,0.88
2021-03,2021-03-31,False,100,0.7988621475663572,0.8545650147259021,0.3887505210783005,0.6099206516226725,0.1180983853270739,0.0329537979787908,0.0045720922922523,94,7.0,7.0,0.93
2021-04,2021-04-30,False,100,0.7519047462091708,0.8284032892539533,0.2729615939929399,0.492727473597688,0.1568563218308787,0.0383163120156416,0.0042678948027946,94,10.0,10.0,0.9
2021-05,2021-05-31,False,100,0.7312221496465936,0.8218070459401852,0.234302196496251,0.4407022416419947,0.1834022802976404,0.0657733267397155,0.0050754144083011,92,11.0,11.0,0.89
2021-06,2021-06-30,False,100,0.7545607908882017,0.8374656406659571,0.2586491438438948,0.4704026524469647,0.1769387696768646,0.0734744889737526,0.0057238237596213,92,5.0,5.0,0.95
2021-07,2021-07-31,False,100,0.7669192662284378,0.8404849660355045,0.2784464615949129,0.4912899952254785,0.179483176659659,0.068433618354184,0.006050154778963,92,6.0,6.0,0.94
2021-08,2021-08-31,False,100,0.7435944330885489,0.8299177839939914,0.2376967647243369,0.4421595811149479,0.1891868753167281,0.0567748378114108,0.0064835774064732,92,6.0,6.0,0.94
2021-09,2021-09-30,False,100,0.7245299579309249,0.8182325501530436,0.2279296233812144,0.4327376712246428,0.1854949773977714,0.0680335846448822,0.0067987345652084,92,11.0,11.0,0.89
2021-10,2021-10-31,False,100,0.735253413679542,0.8221199937169666,0.2476367271590621,0.4514097559028636,0.1977844139927873,0.0491732123156981,0.0078330430237461,93,8.0,8.0,0.92
2021-11,2021-11-30,False,100,0.7269699060708801,0.8070489954683677,0.2296978412318125,0.4267356047341771,0.2059640031251994,0.0525853334030116,0.0083221941717481,94,10.0,10.0,0.9
2021-12,2021-12-31,False,100,0.7143294303491339,0.7997568786281752,0.2156900497288264,0.4105743794561415,0.20313927562959,0.0670716711596793,0.008952061932828,92,8.0,8.0,0.92
2022-01,2022-01-31,False,100,0.7267037189018339,0.8038772767691402,0.2237235535271679,0.4276414497601645,0.1851860077012141,0.0919112486198154,0.0088961248842676,92,7.0,7.0,0.93
2022-02,2022-02-28,False,100,0.7289060605725836,0.809675706273498,0.2236059594182062,0.4264874088125565,0.1869493026419251,0.0970990406892346,0.0090095147405293,92,6.0,6.0,0.94
2022-03,2022-03-31,False,100,0.7194734835533231,0.8062788455896527,0.225034066818685,0.4262151611592625,0.1939629082829443,0.0771736777847927,0.0108043249801225,93,7.0,7.0,0.93
2022-04,2022-04-30,False,100,0.7361007124436449,0.8139321409912157,0.2258034861572632,0.4248896139173855,0.1964943947268846,0.0930200613099311,0.0123569867665071,91,5.0,5.0,0.95
2022-05,2022-05-31,False,100,0.7880608143438976,0.8534911075166168,0.2577827118012295,0.4643339141085424,0.1851457694090374,0.1177623811899766,0.0134495897322504,90,5.0,5.0,0.95
2022-06,2022-06-30,False,100,0.7627114066794445,0.8419111631593703,0.2239099325018996,0.4337564989937458,0.1505176598803838,0.1681445480793372,0.0122339512484525,89,6.0,6.0,0.94
2022-07,2022-07-31,False,100,0.7643804906309367,0.8376277512557488,0.2218910640167765,0.4197740226952978,0.1890433372584055,0.1376800578705454,0.0123002308221851,89,8.0,8.0,0.92
2022-08,2022-08-31,False,100,0.7642866850543769,0.8377931840336561,0.2073526522369475,0.3974380467249392,0.1931378705394357,0.1554244638523118,0.0128556699653235,88,8.0,8.0,0.92
2022-09,2022-09-30,False,100,0.7512273465765744,0.8372497529961498,0.2051656016843325,0.4028778393315854,0.1733345136425287,0.1574240181757387,0.012429349558354,87,9.0,9.0,0.91
2022-10,2022-10-31,False,100,0.7529513697986125,0.839402033272484,0.2057042431741463,0.3966262146507507,0.1920226646148365,0.1427335981994557,0.0129099226431824,88,8.0,8.0,0.92
2022-11,2022-11-30,False,100,0.7545711866823922,0.8456850638584157,0.1950209507730238,0.3848171238126835,0.1786111115270925,0.1685995532414243,0.0123885008229055,87,6.0,6.0,0.94
2022-12,2022-12-31,False,100,0.7809303749789713,0.8557437443540757,0.2130249699277935,0.4057866787549837,0.1835388842744616,0.1712577772918105,0.0123274788096963,87,5.0,5.0,0.95
2023-01,2023-01-31,False,100,0.77083645671433,0.8407962387737762,0.2329281560621552,0.4341521313844735,0.1865771014065383,0.1324391555966022,0.0126866782568681,87,5.0,5.0,0.95
2023-02,2023-02-28,False,100,0.7727737793601521,0.8368617436843925,0.2314007010604314,0.4318830773883302,0.1872697085303048,0.1252055645617763,0.012434984629451,89,9.0,9.0,0.91
2023-03,2023-03-31,False,100,0.8034142672133443,0.8660248200893879,0.2682206995324334,0.4730492633854499,0.1884142975220377,0.1123582530687013,0.0137253479702999,87,10.0,10.0,0.9
2023-04,2023-04-30,False,100,0.8089575734490775,0.8691087003111762,0.2740494655775258,0.477537131138996,0.1936688860361916,0.1072595681612184,0.0150784681140639,86,6.0,6.0,0.94
2023-05,2023-05-31,False,100,0.811232006529227,0.8742795347799751,0.2701253579106276,0.4701245046593615,0.1999667167435104,0.11006368735956,0.0168201675520253,86,5.0,5.0,0.95
2023-06,2023-06-30,False,100,0.8291626990237636,0.88463726933502,0.304591651905912,0.5098128571491436,0.1920491038092308,0.1074043243283892,0.0176588211614922,86,1.0,1.0,0.99
2023-07,2023-07-31,False,100,0.8136265142223569,0.876144607612632,0.2820672201045454,0.4867968717546124,0.191433744682838,0.1048413380436497,0.0183117476090173,86,3.0,3.0,0.97
2023-08,2023-08-31,False,100,0.8183052334430672,0.881167918374079,0.2884594616471841,0.4933061759878318,0.1902495576792636,0.1114018645810535,0.019367523487218,86,3.0,3.0,0.97
2023-09,2023-09-30,False,100,0.8176069619356333,0.8792626246202566,0.288192457525688,0.4935055099132028,0.1885770879978245,0.1123168494607553,0.0199432409711941,84,2.0,2.0,0.98
2023-10,2023-10-31,False,100,0.8254590324825928,0.885628640738465,0.3215543743414503,0.5337036757525411,0.1723871768280081,0.0953384177439626,0.0186958613319633,85,3.0,3.0,0.97
2023-11,2023-11-30,False,100,0.8110727166802518,0.8772175942910296,0.3134130462398903,0.5261922489829741,0.1733864029799454,0.088866722262687,0.0184884280425417,88,11.0,11.0,0.89
2023-12,2023-12-31,False,100,0.7916079387578316,0.8623460888099636,0.2937011042199441,0.5085547148814404,0.1696265258963306,0.0784030201234808,0.0184141154529956,88,10.0,10.0,0.9
2024-01,2024-01-31,False,100,0.8037956974810915,0.8698190739466444,0.3023129346117131,0.5158603613923735,0.1727941180343504,0.0815314259009943,0.0185905460336836,90,11.0,11.0,0.89
2024-02,2024-02-29,False,100,0.818840843163566,0.8775145647563344,0.3324808192631087,0.5439498046508998,0.1797737777317543,0.0606630958961993,0.0207672483974175,90,12.0,12.0,0.88
2024-03,2024-03-31,False,100,0.8048780515703943,0.8638148144967298,0.3144575798737379,0.5316235544674865,0.1633005042384927,0.0566439726513367,0.0205796544901268,87,14.0,14.0,0.86
2024-04,2024-04-30,False,100,0.8220404573596051,0.8782901027738107,0.3257262539191727,0.5402081326163968,0.1685949507213583,0.066923232484473,0.0216771847712218,87,10.0,10.0,0.9
2024-05,2024-05-31,False,100,0.8247945865976615,0.8786440134681175,0.3230177467506098,0.534686601850074,0.178824528927996,0.0617721377812647,0.0237720496474336,87,7.0,7.0,0.93
2024-06,2024-06-30,False,100,0.8323101796161718,0.8890983528717457,0.3235563356463194,0.5340603426796549,0.1803595102461509,0.0693559332731172,0.0249755087668914,86,6.0,6.0,0.94
2024-07,2024-07-31,False,100,0.8381953549453858,0.8956514374416501,0.3383771920524323,0.5521252592345102,0.1664468887901837,0.0669287582619666,0.0234813108234153,85,5.0,5.0,0.95
2024-08,2024-08-31,False,100,0.8299346057547041,0.8874881035921957,0.3407756192567667,0.5594576299085714,0.1455860242285765,0.0793448518257049,0.030006663707293,81,8.0,8.0,0.92
2024-09,2024-09-30,False,100,0.8242943461685881,0.8814453919780963,0.3428948998589957,0.5633728527840951,0.1389721596012882,0.0723220922873794,0.0287781454617308,83,7.0,7.0,0.93
2024-10,2024-10-31,False,100,0.8379849767744459,0.8913635521468701,0.3682613367787661,0.5875900818093596,0.1314404315728649,0.0696365066490828,0.0281537503093292,81,6.0,6.0,0.94
2024-11,2024-11-30,False,100,0.7982579845344566,0.8782119044606402,0.3432034030985168,0.5670151780415088,0.1275270447411565,0.0554496297744108,0.0266026175188858,83,8.0,8.0,0.92
2024-12,2024-12-31,False,100,0.802448476404058,0.8780095755584131,0.3423315051724991,0.566437892624868,0.1250272166719396,0.0621509864344161,0.0266691562355055,80,11.0,11.0,0.89
2025-01,2025-01-31,False,100,0.8123197164134154,0.8867389126012201,0.3559582870403541,0.580722190851729,0.1094774833823069,0.0592659932276666,0.0247218541328123,79,9.0,9.0,0.91
2025-02,2025-02-28,False,100,0.820076802446542,0.890779350297371,0.3706019026786447,0.5948874979094307,0.0984431593470483,0.0770937804563556,0.0228910222003646,79,5.0,5.0,0.95
2025-03,2025-03-31,False,100,0.8215306134174805,0.8938513199582399,0.3838117148959557,0.6079849717744192,0.0810343899634775,0.0842971557226169,0.0205766108555988,78,8.0,8.0,0.92
2025-04,2025-04-30,False,100,0.8272135763823991,0.8987145699531466,0.4099331947605767,0.6307093295917169,0.073021364710938,0.0782471452188303,0.0193658006453123,78,7.0,7.0,0.93
2025-05,2025-05-31,False,100,0.845432254511978,0.9130440498200348,0.4195560914677325,0.6362781364518263,0.0937901935764362,0.0730811033522648,0.0202922508779338,76,7.0,7.0,0.93
2025-06,2025-06-30,False,100,0.8395636142894725,0.9040004440193512,0.4193904210758939,0.6369385747548386,0.0892992608565621,0.0718858713318352,0.0233777836796737,75,8.0,8.0,0.92
2025-07,2025-07-31,False,100,0.8313504552691177,0.8970825389704902,0.3767864319999335,0.5975274527428129,0.1171358546741979,0.0646150555280969,0.0317040771993775,73,7.0,7.0,0.93
2025-08,2025-08-31,False,100,0.816511570315792,0.8901594762559533,0.3406536179073011,0.5617333095195093,0.1367723599355794,0.0702280436936516,0.0359734554742282,72,5.0,5.0,0.95
2025-09,2025-09-30,False,100,0.8144393753229922,0.8871359994062497,0.3432391417346507,0.5662430005059712,0.126410299839985,0.0714149887164344,0.0339670233395575,74,9.0,9.0,0.91
2025-10,2025-10-31,False,100,0.8263290657750909,0.897135235177983,0.3540510834768179,0.5762039895573529,0.1225045401813449,0.0786307365718039,0.034809370632997,70,8.0,8.0,0.92
2025-11,2025-11-30,False,100,0.8192135378693158,0.8906259896269912,0.3442253512901531,0.5686064024906204,0.1132426037937422,0.0921441571767404,0.0318910180487449,72,8.0,8.0,0.92
2025-12,2025-12-31,False,100,0.8206691579384596,0.8917052082739743,0.3458969478300965,0.5696614994118548,0.1156894491874984,0.0954301805147212,0.0328936947844714,72,5.0,5.0,0.95
2026-01,2026-01-31,False,100,0.8186267140886286,0.8897179323567053,0.3452317848261815,0.5698080295915293,0.1105591336463784,0.0987002795884488,0.0335964622970535,72,4.0,4.0,0.96
2026-02,2026-02-28,False,100,0.802042844822126,0.8792878539196225,0.3291448904129571,0.5559521850171487,0.098319059443878,0.1238330854189309,0.0304330689344892,75,8.0,8.0,0.92
2026-03,2026-03-31,False,100,0.7980631739818321,0.8766847567959186,0.3257892870999924,0.552683889624647,0.1011781838599617,0.123544033545247,0.0307853252449372,74,8.0,8.0,0.92
2026-04,2026-04-30,False,100,0.8126118797501333,0.8861534379778705,0.3494065673466623,0.5744177753932596,0.102967521440512,0.1142796223965506,0.0291291609265437,72,8.0,8.0,0.92
2026-05,2026-05-31,False,100,0.8045754220260829,0.878930561946528,0.3420430629436969,0.5690650409023931,0.0938419388649906,0.115255560285848,0.0285940149056323,71,5.0,5.0,0.95
2026-06,2026-06-16,True,100,0.7989326444583575,0.8764263453139387,0.3336205102158617,0.5611198273299185,0.0914869735415883,0.1248307827361989,0.0281344509065885,72,4.0,4.0,0.96
